player_name,pitcher,Split,inning,YRA,NRA,NRA%,Year,Apps
Aaron Ashby,676879,Home,1,1,0,0.0,2026,1
Aaron Civale,650644,Home,1,1,2,0.667,2026,3
Aaron Nola,605400,Home,1,1,1,0.5,2026,2
Adrian Houser,605288,Home,1,1,1,0.5,2026,2
Andre Pallante,669467,Home,1,1,2,0.667,2026,3
Andrew Abbott,671096,Home,1,3,2,0.4,2026,5
Andrew Painter,691725,Home,1,0,2,1.0,2026,2
Anthony Kay,641743,Home,1,1,0,0.0,2026,1
Bailey Ober,641927,Home,1,1,4,0.8,2026,5
Brady Singer,663903,Home,1,1,2,0.667,2026,3
Brandon Pfaadt,694297,Home,1,1,1,0.5,2026,2
Brandon Sproat,687075,Home,1,1,2,0.667,2026,3
Brandon Williamson,682227,Home,1,1,2,0.667,2026,3
Brandon Woodruff,605540,Home,1,1,3,0.75,2026,4
Brandon Young,687064,Home,1,1,1,0.5,2026,2
Braxton Ashcraft,677952,Home,1,0,4,1.0,2026,4
Brayan Bello,678394,Home,1,1,1,0.5,2026,2
Brennan Bernardino,657514,Home,1,2,0,0.0,2026,2
Bryan Hudson,663542,Home,1,0,2,1.0,2026,2
Bryan Woo,693433,Home,1,1,2,0.667,2026,3
Bryce Elder,693821,Home,1,1,4,0.8,2026,5
Bubba Chandler,696149,Home,1,0,3,1.0,2026,3
Cade Cavalli,676917,Home,1,1,2,0.667,2026,3
Cade Horton,690990,Home,1,0,1,1.0,2026,1
Cade Povich,700249,Home,1,0,1,1.0,2026,1
Cam Schlittler,693645,Home,1,0,2,1.0,2026,2
Carmen Mlodzinski,669387,Home,1,1,1,0.5,2026,2
Casey Mize,663554,Home,1,0,2,1.0,2026,2
Chad Patrick,694477,Home,1,1,2,0.667,2026,3
Chase Burns,695505,Home,1,0,4,1.0,2026,4
Chris Bassitt,605135,Home,1,1,2,0.667,2026,3
Chris Paddack,663978,Home,1,2,1,0.333,2026,3
Chris Sale,519242,Home,1,0,4,1.0,2026,4
Christian Scott,681035,Home,1,1,0,0.0,2026,1
Clay Holmes,605280,Home,1,0,3,1.0,2026,3
Cody Ponce,664074,Home,1,0,1,1.0,2026,1
Cole Ragans,666142,Home,1,0,2,1.0,2026,2
Colin Rea,607067,Home,1,0,2,1.0,2026,2
Colton Gordon,676467,Home,1,1,0,0.0,2026,1
Connelly Early,813349,Home,1,1,2,0.667,2026,3
Connor Prielipp,687570,Home,1,0,2,1.0,2026,2
Cristian Javier,664299,Home,1,0,1,1.0,2026,1
Cristopher Sanchez,650911,Home,1,1,4,0.8,2026,5
David Peterson,656849,Home,1,2,1,0.333,2026,3
Davis Martin,663436,Home,1,0,2,1.0,2026,2
Dean Kremer,665152,Home,1,1,0,0.0,2026,1
Drew Rasmussen,656876,Home,1,0,2,1.0,2026,2
Dustin May,669160,Home,1,1,3,0.75,2026,4
Dylan Cease,656302,Home,1,0,3,1.0,2026,3
Eduardo Rodriguez,593958,Home,1,1,1,0.5,2026,2
Edward Cabrera,665795,Home,1,0,4,1.0,2026,4
Emerson Hancock,676106,Home,1,0,4,1.0,2026,4
Emmet Sheehan,686218,Home,1,1,2,0.667,2026,3
Eric Lauer,641778,Home,1,1,2,0.667,2026,3
Erick Fedde,607200,Home,1,0,1,1.0,2026,1
Eury Perez,691587,Home,1,1,3,0.75,2026,4
Foster Griffin,656492,Home,1,1,2,0.667,2026,3
Framber Valdez,664285,Home,1,0,2,1.0,2026,2
Freddy Peralta,642547,Home,1,1,4,0.8,2026,5
Garrett Crochet,676979,Home,1,1,1,0.5,2026,2
Gavin Williams,668909,Home,1,0,3,1.0,2026,3
George Kirby,669923,Home,1,2,2,0.5,2026,4
George Klassen,691946,Home,1,0,1,1.0,2026,1
German Marquez,608566,Home,1,2,1,0.333,2026,3
Grant Holmes,656550,Home,1,0,3,1.0,2026,3
Grant Taylor,691799,Home,1,0,3,1.0,2026,3
Griffin Canning,656288,Home,1,0,1,1.0,2026,1
Griffin Jax,643377,Home,1,0,2,1.0,2026,2
Hunter Brown,686613,Home,1,0,2,1.0,2026,2
J.T. Ginn,669372,Home,1,0,2,1.0,2026,2
JR Ritchie,702275,Home,1,0,1,1.0,2026,1
Jack Flaherty,656427,Home,1,1,2,0.667,2026,3
Jack Kochanowicz,686799,Home,1,0,3,1.0,2026,3
Jack Leiter,683004,Home,1,1,2,0.667,2026,3
Jacob Lopez,682052,Home,1,0,3,1.0,2026,3
Jacob Misiorowski,694819,Home,1,1,3,0.75,2026,4
Jacob deGrom,594798,Home,1,2,1,0.333,2026,3
Jake Bennett,687562,Home,1,0,1,1.0,2026,1
Jake Irvin,663623,Home,1,2,1,0.333,2026,3
Jameson Taillon,592791,Home,1,1,2,0.667,2026,3
Janson Junk,676083,Home,1,0,4,1.0,2026,4
Javier Assad,665871,Home,1,0,1,1.0,2026,1
Jeffrey Springs,605488,Home,1,3,1,0.25,2026,4
Jesse Scholtens,669947,Home,1,1,0,0.0,2026,1
Jesus Luzardo,666200,Home,1,0,4,1.0,2026,4
Jimmy Herget,623474,Home,1,0,1,1.0,2026,1
Joe Boyle,671212,Home,1,1,0,0.0,2026,1
Joe Ryan,657746,Home,1,0,4,1.0,2026,4
Joey Cantillo,676282,Home,1,0,3,1.0,2026,3
Jordan Leasure,673929,Home,1,0,1,1.0,2026,1
Jose Quintana,500779,Home,1,0,2,1.0,2026,2
Jose Soriano,667755,Home,1,1,2,0.667,2026,3
Jose Suarez,660761,Home,1,0,1,1.0,2026,1
Justin Wrobleski,680736,Home,1,0,2,1.0,2026,2
Keider Montero,672456,Home,1,0,5,1.0,2026,5
Kevin Gausman,592332,Home,1,0,4,1.0,2026,4
Kodai Senga,673540,Home,1,0,2,1.0,2026,2
Kris Bubic,663460,Home,1,1,3,0.75,2026,4
