,BatterTeam,Split,inning,YRA,NRA,NRA%,Year,Apps
0,ARI,Home,1,41,48,0.539,2025,89
1,ARI,Home,2,26,63,0.708,2025,89
2,ARI,Home,3,27,62,0.697,2025,89
3,ARI,Home,4,29,60,0.674,2025,89
4,ARI,Home,5,32,57,0.64,2025,89
5,ARI,Home,6,21,68,0.764,2025,89
6,ARI,Home,7,23,66,0.742,2025,89
7,ARI,Home,8,27,62,0.697,2025,89
8,ARI,Home,9,14,35,0.714,2025,49
11,ARI,Road,1,26,67,0.72,2025,93
12,ARI,Road,2,28,65,0.699,2025,93
13,ARI,Road,3,30,63,0.677,2025,93
14,ARI,Road,4,29,64,0.688,2025,93
15,ARI,Road,5,27,66,0.71,2025,93
16,ARI,Road,6,21,72,0.774,2025,93
17,ARI,Road,7,24,69,0.742,2025,93
18,ARI,Road,8,25,68,0.731,2025,93
19,ARI,Road,9,23,70,0.753,2025,93
0,ARI,Total,1,67,115,0.632,2025,182
1,ARI,Total,2,54,128,0.703,2025,182
2,ARI,Total,3,57,125,0.687,2025,182
3,ARI,Total,4,58,124,0.681,2025,182
4,ARI,Total,5,59,123,0.676,2025,182
5,ARI,Total,6,42,140,0.769,2025,182
6,ARI,Total,7,47,135,0.742,2025,182
7,ARI,Total,8,52,130,0.714,2025,182
8,ARI,Total,9,37,105,0.739,2025,142
22,ATH,Home,1,27,54,0.667,2025,81
23,ATH,Home,2,21,60,0.741,2025,81
24,ATH,Home,3,30,51,0.63,2025,81
25,ATH,Home,4,17,64,0.79,2025,81
26,ATH,Home,5,26,55,0.679,2025,81
27,ATH,Home,6,15,66,0.815,2025,81
28,ATH,Home,7,24,57,0.704,2025,81
29,ATH,Home,8,23,58,0.716,2025,81
30,ATH,Home,9,12,42,0.778,2025,54
33,ATH,Road,1,23,58,0.716,2025,81
34,ATH,Road,2,19,62,0.765,2025,81
35,ATH,Road,3,19,62,0.765,2025,81
36,ATH,Road,4,28,53,0.654,2025,81
37,ATH,Road,5,21,60,0.741,2025,81
38,ATH,Road,6,28,53,0.654,2025,81
39,ATH,Road,7,16,65,0.802,2025,81
40,ATH,Road,8,21,60,0.741,2025,81
41,ATH,Road,9,25,56,0.691,2025,81
11,ATH,Total,1,50,112,0.691,2025,162
12,ATH,Total,2,40,122,0.753,2025,162
13,ATH,Total,3,49,113,0.698,2025,162
14,ATH,Total,4,45,117,0.722,2025,162
15,ATH,Total,5,47,115,0.71,2025,162
16,ATH,Total,6,43,119,0.735,2025,162
17,ATH,Total,7,40,122,0.753,2025,162
18,ATH,Total,8,44,118,0.728,2025,162
19,ATH,Total,9,37,98,0.726,2025,135
44,ATL,Home,1,29,64,0.688,2025,93
45,ATL,Home,2,17,76,0.817,2025,93
46,ATL,Home,3,23,70,0.753,2025,93
47,ATL,Home,4,26,67,0.72,2025,93
48,ATL,Home,5,24,69,0.742,2025,93
49,ATL,Home,6,31,62,0.667,2025,93
50,ATL,Home,7,23,70,0.753,2025,93
51,ATL,Home,8,25,68,0.731,2025,93
52,ATL,Home,9,12,40,0.769,2025,52
55,ATL,Road,1,26,63,0.708,2025,89
56,ATL,Road,2,24,65,0.73,2025,89
57,ATL,Road,3,20,69,0.775,2025,89
58,ATL,Road,4,28,61,0.685,2025,89
59,ATL,Road,5,21,68,0.764,2025,89
60,ATL,Road,6,24,65,0.73,2025,89
61,ATL,Road,7,20,69,0.775,2025,89
62,ATL,Road,8,26,63,0.708,2025,89
63,ATL,Road,9,31,58,0.652,2025,89
22,ATL,Total,1,55,127,0.698,2025,182
23,ATL,Total,2,41,141,0.775,2025,182
24,ATL,Total,3,43,139,0.764,2025,182
25,ATL,Total,4,54,128,0.703,2025,182
26,ATL,Total,5,45,137,0.753,2025,182
27,ATL,Total,6,55,127,0.698,2025,182
28,ATL,Total,7,43,139,0.764,2025,182
29,ATL,Total,8,51,131,0.72,2025,182
30,ATL,Total,9,43,98,0.695,2025,141
66,BAL,Home,1,23,70,0.753,2025,93
67,BAL,Home,2,28,65,0.699,2025,93
68,BAL,Home,3,30,63,0.677,2025,93
69,BAL,Home,4,16,77,0.828,2025,93
70,BAL,Home,5,27,66,0.71,2025,93
71,BAL,Home,6,28,65,0.699,2025,93
72,BAL,Home,7,33,60,0.645,2025,93
73,BAL,Home,8,26,67,0.72,2025,93
74,BAL,Home,9,8,46,0.852,2025,54
77,BAL,Road,1,21,68,0.764,2025,89
78,BAL,Road,2,12,77,0.865,2025,89
79,BAL,Road,3,27,62,0.697,2025,89
80,BAL,Road,4,24,65,0.73,2025,89
81,BAL,Road,5,23,66,0.742,2025,89
82,BAL,Road,6,19,70,0.787,2025,89
83,BAL,Road,7,24,65,0.73,2025,89
84,BAL,Road,8,19,70,0.787,2025,89
85,BAL,Road,9,16,73,0.82,2025,89
33,BAL,Total,1,44,138,0.758,2025,182
34,BAL,Total,2,40,142,0.78,2025,182
35,BAL,Total,3,57,125,0.687,2025,182
36,BAL,Total,4,40,142,0.78,2025,182
37,BAL,Total,5,50,132,0.725,2025,182
38,BAL,Total,6,47,135,0.742,2025,182
39,BAL,Total,7,57,125,0.687,2025,182
40,BAL,Total,8,45,137,0.753,2025,182
41,BAL,Total,9,24,119,0.832,2025,143
89,BOS,Home,1,29,59,0.67,2025,88
90,BOS,Home,2,21,67,0.761,2025,88
91,BOS,Home,3,28,60,0.682,2025,88
92,BOS,Home,4,23,65,0.739,2025,88
93,BOS,Home,5,26,62,0.705,2025,88
94,BOS,Home,6,28,60,0.682,2025,88
95,BOS,Home,7,28,60,0.682,2025,88
96,BOS,Home,8,24,64,0.727,2025,88
97,BOS,Home,9,8,41,0.837,2025,49
100,BOS,Road,1,25,68,0.731,2025,93
101,BOS,Road,2,26,67,0.72,2025,93
102,BOS,Road,3,28,65,0.699,2025,93
103,BOS,Road,4,26,67,0.72,2025,93
104,BOS,Road,5,25,68,0.731,2025,93
105,BOS,Road,6,24,69,0.742,2025,93
106,BOS,Road,7,24,69,0.742,2025,93
107,BOS,Road,8,20,73,0.785,2025,93
108,BOS,Road,9,31,62,0.667,2025,93
45,BOS,Total,1,54,127,0.702,2025,181
46,BOS,Total,2,47,134,0.74,2025,181
47,BOS,Total,3,56,125,0.691,2025,181
48,BOS,Total,4,49,132,0.729,2025,181
49,BOS,Total,5,51,130,0.718,2025,181
50,BOS,Total,6,52,129,0.713,2025,181
51,BOS,Total,7,52,129,0.713,2025,181
52,BOS,Total,8,44,137,0.757,2025,181
53,BOS,Total,9,39,103,0.725,2025,142
112,CHC,Home,1,26,65,0.714,2025,91
113,CHC,Home,2,35,56,0.615,2025,91
114,CHC,Home,3,26,65,0.714,2025,91
115,CHC,Home,4,28,63,0.692,2025,91
116,CHC,Home,5,33,58,0.637,2025,91
117,CHC,Home,6,23,68,0.747,2025,91
118,CHC,Home,7,27,64,0.703,2025,91
119,CHC,Home,8,27,64,0.703,2025,91
120,CHC,Home,9,5,39,0.886,2025,44
123,CHC,Road,1,26,64,0.711,2025,90
124,CHC,Road,2,22,68,0.756,2025,90
125,CHC,Road,3,27,63,0.7,2025,90
126,CHC,Road,4,29,61,0.678,2025,90
127,CHC,Road,5,26,64,0.711,2025,90
128,CHC,Road,6,30,60,0.667,2025,90
129,CHC,Road,7,28,62,0.689,2025,90
130,CHC,Road,8,30,60,0.667,2025,90
131,CHC,Road,9,21,69,0.767,2025,90
57,CHC,Total,1,52,129,0.713,2025,181
58,CHC,Total,2,57,124,0.685,2025,181
59,CHC,Total,3,53,128,0.707,2025,181
60,CHC,Total,4,57,124,0.685,2025,181
