,BatterTeam,Split,IsF5,YRA,NRA,NRA%,Year,Apps
1,ARI,Home,1,68,13,0.16,2025,81
3,ARI,Road,1,63,15,0.192,2025,78
1,ARI,Total,1,131,28,0.176,2025,159
5,ATL,Home,1,58,20,0.256,2025,78
7,ATL,Road,1,59,22,0.272,2025,81
3,ATL,Total,1,117,42,0.264,2025,159
9,BAL,Home,1,58,23,0.284,2025,81
11,BAL,Road,1,63,15,0.192,2025,78
5,BAL,Total,1,121,38,0.239,2025,159
13,BOS,Home,1,66,12,0.154,2025,78
15,BOS,Road,1,65,16,0.198,2025,81
7,BOS,Total,1,131,28,0.176,2025,159
17,CHC,Home,1,73,5,0.064,2025,78
19,CHC,Road,1,63,18,0.222,2025,81
9,CHC,Total,1,136,23,0.145,2025,159
21,CIN,Home,1,66,15,0.185,2025,81
23,CIN,Road,1,56,22,0.282,2025,78
11,CIN,Total,1,122,37,0.233,2025,159
25,CLE,Home,1,58,20,0.256,2025,78
27,CLE,Road,1,61,20,0.247,2025,81
13,CLE,Total,1,119,40,0.252,2025,159
29,COL,Home,1,73,8,0.099,2025,81
31,COL,Road,1,46,32,0.41,2025,78
15,COL,Total,1,119,40,0.252,2025,159
33,CWS,Home,1,67,14,0.173,2025,81
35,CWS,Road,1,61,17,0.218,2025,78
17,CWS,Total,1,128,31,0.195,2025,159
37,DET,Home,1,70,11,0.136,2025,81
39,DET,Road,1,60,18,0.231,2025,78
19,DET,Total,1,130,29,0.182,2025,159
41,HOU,Home,1,59,22,0.272,2025,81
43,HOU,Road,1,56,22,0.282,2025,78
21,HOU,Total,1,115,44,0.277,2025,159
45,KC,Home,1,58,23,0.284,2025,81
47,KC,Road,1,61,17,0.218,2025,78
23,KC,Total,1,119,40,0.252,2025,159
49,LAA,Home,1,65,13,0.167,2025,78
51,LAA,Road,1,65,16,0.198,2025,81
25,LAA,Total,1,130,29,0.182,2025,159
53,LAD,Home,1,65,16,0.198,2025,81
55,LAD,Road,1,58,20,0.256,2025,78
27,LAD,Total,1,123,36,0.226,2025,159
57,MIA,Home,1,65,13,0.167,2025,78
59,MIA,Road,1,62,19,0.235,2025,81
29,MIA,Total,1,127,32,0.201,2025,159
61,MIL,Home,1,66,12,0.154,2025,78
63,MIL,Road,1,67,14,0.173,2025,81
31,MIL,Total,1,133,26,0.164,2025,159
65,MIN,Home,1,68,13,0.16,2025,81
67,MIN,Road,1,63,15,0.192,2025,78
33,MIN,Total,1,131,28,0.176,2025,159
69,NYM,Home,1,69,12,0.148,2025,81
71,NYM,Road,1,60,18,0.231,2025,78
35,NYM,Total,1,129,30,0.189,2025,159
73,NYY,Home,1,62,16,0.205,2025,78
75,NYY,Road,1,65,16,0.198,2025,81
37,NYY,Total,1,127,32,0.201,2025,159
77,OAK,Home,1,65,13,0.167,2025,78
79,OAK,Road,1,63,18,0.222,2025,81
39,OAK,Total,1,128,31,0.195,2025,159
81,PHI,Home,1,72,6,0.077,2025,78
83,PHI,Road,1,56,25,0.309,2025,81
41,PHI,Total,1,128,31,0.195,2025,159
85,PIT,Home,1,68,13,0.16,2025,81
87,PIT,Road,1,53,25,0.321,2025,78
43,PIT,Total,1,121,38,0.239,2025,159
89,SD,Home,1,65,13,0.167,2025,78
91,SD,Road,1,63,18,0.222,2025,81
45,SD,Total,1,128,31,0.195,2025,159
93,SEA,Home,1,59,19,0.244,2025,78
95,SEA,Road,1,65,16,0.198,2025,81
47,SEA,Total,1,124,35,0.22,2025,159
97,SF,Home,1,59,19,0.244,2025,78
99,SF,Road,1,63,18,0.222,2025,81
49,SF,Total,1,122,37,0.233,2025,159
101,STL,Home,1,63,18,0.222,2025,81
103,STL,Road,1,61,17,0.218,2025,78
51,STL,Total,1,124,35,0.22,2025,159
105,TB,Home,1,65,16,0.198,2025,81
107,TB,Road,1,64,14,0.179,2025,78
53,TB,Total,1,129,30,0.189,2025,159
109,TEX,Home,1,61,20,0.247,2025,81
111,TEX,Road,1,64,14,0.179,2025,78
55,TEX,Total,1,125,34,0.214,2025,159
113,TOR,Home,1,59,19,0.244,2025,78
115,TOR,Road,1,60,21,0.259,2025,81
57,TOR,Total,1,119,40,0.252,2025,159
117,WSH,Home,1,58,20,0.256,2025,78
119,WSH,Road,1,58,23,0.284,2025,81
59,WSH,Total,1,116,43,0.27,2025,159
