,Player,HID,p_throws,batter,pitch_type,AB,H,AVG,SwStr%,wOBA,OPS,ISO,EV,Air Hard%,BIP,Brl%,Hard%,GB%,LD%,FB%,K%,BB%,1B,2B,3B,HR,Game,Team,Opp,Spot
1,Joey Loperfido,694388,R,694388,CU,26.0,6.0,0.231,0.225,0.22753846153846155,0.539,0.07699999999999999,88.88333333333333,0.333,12,0.083,0.25,0.417,0.25,0.25,0.538,0.0,4,2,0,0,TOR@BAL,TOR,BAL,1
3,Joey Loperfido,694388,R,694388,FC,23.0,5.0,0.217,0.152,0.22354166666666667,0.511,0.04400000000000001,85.77058823529413,0.5,17,0.0,0.412,0.353,0.235,0.353,0.25,0.042,4,1,0,0,TOR@BAL,TOR,BAL,1
4,Joey Loperfido,694388,R,694388,FF,81.0,21.0,0.259,0.168,0.3474772727272727,0.821,0.247,90.23684210526316,0.515,57,0.07,0.404,0.368,0.263,0.316,0.281,0.067,10,6,1,4,TOR@BAL,TOR,BAL,1
5,Joey Loperfido,694388,R,694388,FS,8.0,3.0,0.375,0.257,0.320625,0.75,0.0,78.0,0.0,4,0.0,0.0,0.25,0.5,0.25,0.5,0.0,3,0,0,0,TOR@BAL,TOR,BAL,1
6,Joey Loperfido,694388,R,694388,SI,27.0,7.0,0.259,0.05,0.31993103448275856,0.744,0.185,87.10000000000001,0.538,22,0.045,0.409,0.409,0.318,0.273,0.2,0.067,3,3,1,0,TOR@BAL,TOR,BAL,1
7,Joey Loperfido,694388,R,694388,SL,33.0,5.0,0.152,0.243,0.2185,0.495,0.12100000000000002,88.23333333333333,0.444,15,0.067,0.4,0.267,0.267,0.333,0.5,0.028,3,0,2,0,TOR@BAL,TOR,BAL,1
11,Ernie Clement,676391,R,676391,CU,40.0,9.0,0.225,0.083,0.2022,0.475,0.024999999999999994,80.57428571428571,0.067,35,0.0,0.143,0.514,0.2,0.229,0.125,0.0,8,1,0,0,TOR@BAL,TOR,BAL,2
13,Ernie Clement,676391,R,676391,FC,54.0,14.0,0.259,0.075,0.273375,0.638,0.09299999999999997,84.74313725490195,0.304,51,0.039,0.235,0.451,0.157,0.294,0.054,0.036,11,2,0,1,TOR@BAL,TOR,BAL,2
14,Ernie Clement,676391,R,676391,FF,134.0,33.0,0.246,0.06,0.30133802816901406,0.701,0.172,88.99098360655738,0.343,122,0.041,0.262,0.254,0.205,0.369,0.103,0.041,20,8,0,5,TOR@BAL,TOR,BAL,2
15,Ernie Clement,676391,R,676391,FS,15.0,4.0,0.267,0.171,0.228,0.534,0.0,78.31666666666666,0.4,12,0.0,0.167,0.417,0.25,0.167,0.2,0.0,4,0,0,0,TOR@BAL,TOR,BAL,2
