,Player,HID,p_throws,batter,pitch_type,AB,H,AVG,SwStr%,wOBA,OPS,ISO,EV,Air Hard%,BIP,Brl%,Hard%,GB%,LD%,FB%,K%,BB%,1B,2B,3B,HR,Game,Team,Opp,Spot
0,JJ Wetherholt,802139,R,802139,CH,30.0,5.0,0.167,0.103,0.22753125000000002,0.519,0.13299999999999998,83.8153846153846,0.6,26,0.038,0.308,0.615,0.269,0.115,0.125,0.0,3,1,0,1,MIL@STL,STL,MIL,1
2,JJ Wetherholt,802139,R,802139,CU,12.0,5.0,0.417,0.053,0.45260000000000006,1.033,0.08300000000000002,84.58,0.333,10,0.0,0.5,0.7,0.2,0.1,0.133,0.133,4,1,0,0,MIL@STL,STL,MIL,1
3,JJ Wetherholt,802139,R,802139,FC,20.0,3.0,0.15,0.103,0.2738333333333333,0.592,0.15,81.47368421052632,0.2,19,0.053,0.158,0.421,0.105,0.421,0.042,0.083,2,0,0,1,MIL@STL,STL,MIL,1
4,JJ Wetherholt,802139,R,802139,FF,76.0,24.0,0.316,0.112,0.43711235955056177,1.048,0.316,92.7135593220339,0.605,59,0.136,0.525,0.203,0.288,0.441,0.191,0.135,14,3,0,7,MIL@STL,STL,MIL,1
7,JJ Wetherholt,802139,R,802139,SL,23.0,5.0,0.217,0.071,0.23626086956521736,0.565,0.13099999999999998,94.48888888888888,0.8,18,0.0,0.667,0.389,0.278,0.278,0.217,0.0,4,0,0,1,MIL@STL,STL,MIL,1
10,Ivan Herrera,671056,R,671056,CH,41.0,7.0,0.171,0.146,0.24945652173913044,0.554,0.12199999999999997,84.3423076923077,0.333,26,0.077,0.423,0.423,0.154,0.308,0.326,0.065,4,2,0,1,MIL@STL,STL,MIL,2
12,Ivan Herrera,671056,R,671056,CU,56.0,17.0,0.304,0.134,0.3027966101694915,0.685,0.05299999999999999,86.58205128205128,0.471,39,0.051,0.385,0.487,0.231,0.205,0.295,0.016,14,3,0,0,MIL@STL,STL,MIL,2
13,Ivan Herrera,671056,R,671056,FC,49.0,15.0,0.306,0.11,0.32335294117647057,0.762,0.123,92.14418604651162,0.733,43,0.093,0.488,0.558,0.233,0.116,0.118,0.039,12,1,1,1,MIL@STL,STL,MIL,2
14,Ivan Herrera,671056,R,671056,FF,176.0,46.0,0.261,0.073,0.36224074074074075,0.816,0.15899999999999997,90.05151515151515,0.562,132,0.091,0.432,0.402,0.242,0.242,0.207,0.161,30,10,0,6,MIL@STL,STL,MIL,2
18,Ivan Herrera,671056,R,671056,SL,124.0,34.0,0.274,0.156,0.3460071942446043,0.802,0.178,92.98041237113402,0.688,97,0.155,0.536,0.474,0.278,0.216,0.193,0.086,23,5,1,5,MIL@STL,STL,MIL,2
21,Jordan Walker,691023,R,691023,CH,68.0,15.0,0.221,0.257,0.26583333333333337,0.617,0.13199999999999998,90.35333333333334,0.579,45,0.067,0.4,0.444,0.2,0.222,0.319,0.042,10,3,0,2,MIL@STL,STL,MIL,3
23,Jordan Walker,691023,R,691023,CU,49.0,11.0,0.224,0.213,0.27984000000000003,0.66,0.205,90.465,0.471,40,0.075,0.375,0.55,0.25,0.175,0.212,0.019,5,4,0,2,MIL@STL,STL,MIL,3
24,Jordan Walker,691023,R,691023,FC,73.0,17.0,0.233,0.173,0.29088888888888886,0.665,0.12299999999999997,89.77543859649123,0.382,57,0.07,0.386,0.316,0.263,0.333,0.198,0.099,11,4,1,1,MIL@STL,STL,MIL,3
25,Jordan Walker,691023,R,691023,FF,232.0,55.0,0.237,0.141,0.3052362204724409,0.706,0.16800000000000004,92.78344370860927,0.582,151,0.139,0.503,0.391,0.265,0.258,0.324,0.074,35,10,1,9,MIL@STL,STL,MIL,3
29,Jordan Walker,691023,R,691023,SL,189.0,60.0,0.317,0.222,0.3362842639593908,0.786,0.127,91.3796875,0.559,128,0.078,0.484,0.445,0.258,0.203,0.317,0.04,42,15,0,3,MIL@STL,STL,MIL,3
32,Alec Burleson,676475,R,676475,CH,234.0,71.0,0.303,0.094,0.3393089430894309,0.795,0.15900000000000003,87.45355450236967,0.43,211,0.052,0.341,0.559,0.213,0.194,0.1,0.048,48,16,0,7,MIL@STL,STL,MIL,4
34,Alec Burleson,676475,R,676475,CU,121.0,40.0,0.331,0.085,0.4023157894736842,0.953,0.23100000000000004,92.709,0.551,100,0.14,0.57,0.48,0.23,0.26,0.158,0.075,24,10,0,6,MIL@STL,STL,MIL,4
36,Alec Burleson,676475,R,676475,FC,112.0,30.0,0.268,0.071,0.33082258064516135,0.762,0.16099999999999998,89.72574257425742,0.49,101,0.089,0.465,0.426,0.267,0.238,0.103,0.079,19,7,1,3,MIL@STL,STL,MIL,4
37,Alec Burleson,676475,R,676475,FF,417.0,108.0,0.259,0.105,0.33126106194690264,0.775,0.20400000000000001,92.08743016759777,0.566,358,0.115,0.483,0.288,0.249,0.383,0.14,0.074,67,19,0,22,MIL@STL,STL,MIL,4
41,Alec Burleson,676475,R,676475,SL,125.0,31.0,0.248,0.103,0.36013013698630136,0.831,0.23199999999999998,88.67340425531914,0.511,94,0.074,0.457,0.426,0.191,0.309,0.216,0.101,16,8,0,7,MIL@STL,STL,MIL,4
44,Masyn Winn,691026,R,691026,CH,59.0,16.0,0.271,0.152,0.30443548387096775,0.704,0.13599999999999995,83.88695652173914,0.429,46,0.065,0.304,0.435,0.239,0.217,0.234,0.047,12,2,0,2,MIL@STL,STL,MIL,5
45,Masyn Winn,691026,R,691026,CU,58.0,12.0,0.207,0.1,0.25417741935483873,0.582,0.12100000000000002,80.71860465116279,0.318,43,0.023,0.233,0.349,0.302,0.209,0.254,0.063,9,1,0,2,MIL@STL,STL,MIL,5
