,player_name,pitcher,p_throws,pitch_type,stand,PitchesThrown,%,H,Ball%,SwStr%,AVG,Hard%,GB%,FB%,Brl%,launch_speed,1B,2B,3B,HR,Split,Game,Team,Opp
0,Tyler Glasnow,607192,R,CU,R,143,0.174,4.0,0.497,0.196,0.111,0.231,0.385,0.385,0.154,87.454,3,1,0,0,R,PHI@LAD,LAD,PHI
1,Tyler Glasnow,607192,R,FF,R,271,0.329,9.0,0.351,0.096,0.188,0.545,0.242,0.515,0.182,91.952,2,3,0,4,R,PHI@LAD,LAD,PHI
2,Tyler Glasnow,607192,R,SI,R,191,0.232,10.0,0.393,0.058,0.25,0.613,0.548,0.194,0.032,94.239,7,3,0,0,R,PHI@LAD,LAD,PHI
3,Tyler Glasnow,607192,R,SL,R,218,0.265,5.0,0.477,0.17,0.132,0.185,0.667,0.185,0.037,84.522,4,0,0,1,R,PHI@LAD,LAD,PHI
0,Tyler Glasnow,607192,R,CU,L,181,0.275,4.0,0.448,0.166,0.098,0.136,0.318,0.318,0.045,80.559,2,2,0,0,L,PHI@LAD,LAD,PHI
1,Tyler Glasnow,607192,R,FF,L,259,0.394,14.0,0.29,0.077,0.209,0.31,0.517,0.172,0.034,86.395,10,2,0,2,L,PHI@LAD,LAD,PHI
2,Tyler Glasnow,607192,R,SI,L,108,0.164,3.0,0.407,0.065,0.15,0.417,0.25,0.417,0.083,86.667,2,1,0,0,L,PHI@LAD,LAD,PHI
3,Tyler Glasnow,607192,R,SL,L,109,0.166,7.0,0.385,0.165,0.269,0.5,0.389,0.333,0.167,88.461,4,0,0,3,L,PHI@LAD,LAD,PHI
0,Cristopher Sanchez,650911,L,CH,R,994,0.434,47.0,0.354,0.242,0.168,0.256,0.613,0.125,0.018,83.454,29,16,0,2,R,PHI@LAD,PHI,LAD
1,Cristopher Sanchez,650911,L,FC,R,2,0.001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,R,PHI@LAD,PHI,LAD
2,Cristopher Sanchez,650911,L,SI,R,996,0.435,74.0,0.308,0.047,0.294,0.582,0.568,0.188,0.08,93.875,61,9,0,4,R,PHI@LAD,PHI,LAD
3,Cristopher Sanchez,650911,L,SL,R,299,0.131,20.0,0.308,0.127,0.312,0.451,0.275,0.353,0.157,90.847,9,6,0,5,R,PHI@LAD,PHI,LAD
0,Cristopher Sanchez,650911,L,CH,L,89,0.147,5.0,0.461,0.315,0.192,0.286,0.571,0.143,0.0,83.171,5,0,0,0,L,PHI@LAD,PHI,LAD
1,Cristopher Sanchez,650911,L,SI,L,336,0.555,18.0,0.283,0.119,0.2,0.284,0.743,0.068,0.027,85.523,14,4,0,0,L,PHI@LAD,PHI,LAD
2,Cristopher Sanchez,650911,L,SL,L,180,0.298,7.0,0.372,0.233,0.163,0.125,0.688,0.219,0.031,79.441,6,0,0,1,L,PHI@LAD,PHI,LAD
0,Matthew Boyd,571510,L,CH,R,598,0.287,38.0,0.301,0.182,0.211,0.326,0.362,0.37,0.094,86.582,24,8,1,5,R,MIL@CHC,CHC,MIL
1,Matthew Boyd,571510,L,CU,R,251,0.12,10.0,0.422,0.06,0.294,0.25,0.357,0.286,0.107,84.771,6,3,0,1,R,MIL@CHC,CHC,MIL
2,Matthew Boyd,571510,L,FF,R,1022,0.49,58.0,0.304,0.088,0.256,0.463,0.311,0.347,0.121,90.897,37,9,2,10,R,MIL@CHC,CHC,MIL
3,Matthew Boyd,571510,L,SI,R,25,0.012,3.0,0.4,0.12,0.429,0.429,0.429,0.143,0.0,89.471,3,0,0,0,R,MIL@CHC,CHC,MIL
4,Matthew Boyd,571510,L,SL,R,190,0.091,6.0,0.458,0.126,0.154,0.364,0.5,0.182,0.0,79.277,5,0,0,1,R,MIL@CHC,CHC,MIL
0,Matthew Boyd,571510,L,CH,L,52,0.079,1.0,0.404,0.154,0.1,0.0,0.571,0.143,0.0,69.657,1,0,0,0,L,MIL@CHC,CHC,MIL
1,Matthew Boyd,571510,L,CU,L,60,0.091,2.0,0.283,0.117,0.25,0.2,0.4,0.4,0.2,65.34,1,0,0,1,L,MIL@CHC,CHC,MIL
2,Matthew Boyd,571510,L,FF,L,253,0.383,15.0,0.249,0.087,0.214,0.448,0.448,0.241,0.086,91.664,12,3,0,0,L,MIL@CHC,CHC,MIL
3,Matthew Boyd,571510,L,SI,L,77,0.117,7.0,0.325,0.065,0.292,0.35,0.75,0.1,0.05,88.12,7,0,0,0,L,MIL@CHC,CHC,MIL
4,Matthew Boyd,571510,L,SL,L,218,0.33,14.0,0.381,0.197,0.246,0.263,0.526,0.184,0.0,79.921,11,2,0,1,L,MIL@CHC,CHC,MIL
0,Freddy Peralta,642547,R,CH,R,257,0.167,11.0,0.346,0.214,0.196,0.5,0.625,0.125,0.062,90.219,9,1,0,1,R,MIL@CHC,MIL,CHC
1,Freddy Peralta,642547,R,CU,R,242,0.158,8.0,0.459,0.14,0.167,0.346,0.5,0.154,0.077,83.927,3,3,0,2,R,MIL@CHC,MIL,CHC
2,Freddy Peralta,642547,R,FF,R,793,0.517,32.0,0.342,0.113,0.189,0.407,0.276,0.374,0.154,91.836,18,4,0,10,R,MIL@CHC,MIL,CHC
3,Freddy Peralta,642547,R,SL,R,243,0.158,7.0,0.416,0.239,0.149,0.172,0.483,0.172,0.034,81.89,4,3,0,0,R,MIL@CHC,MIL,CHC
0,Freddy Peralta,642547,R,CH,L,398,0.257,12.0,0.46,0.133,0.156,0.234,0.562,0.281,0.062,83.022,7,3,0,2,L,MIL@CHC,MIL,CHC
1,Freddy Peralta,642547,R,CU,L,247,0.159,14.0,0.372,0.178,0.194,0.095,0.286,0.19,0.0,78.598,11,3,0,0,L,MIL@CHC,MIL,CHC
2,Freddy Peralta,642547,R,FF,L,858,0.553,39.0,0.367,0.103,0.229,0.429,0.294,0.341,0.103,90.206,27,6,0,6,L,MIL@CHC,MIL,CHC
3,Freddy Peralta,642547,R,SL,L,48,0.031,1.0,0.458,0.271,0.25,0.0,0.0,0.0,0.0,85.1,1,0,0,0,L,MIL@CHC,MIL,CHC
