,player_name,pitcher,p_throws,pitch_type,stand,PitchesThrown,%,H,Ball%,SwStr%,AVG,Hard%,GB%,FB%,Brl%,launch_speed,1B,2B,3B,HR,Split,Game,Team,Opp
0,Shane Baz,669358,R,CH,R,23,0.01,2.0,0.478,0.087,0.333,0.333,0.333,0.0,0.167,81.167,0,1,0,1,R,TB@BAL,BAL,TB
1,Shane Baz,669358,R,CU,R,735,0.309,51.0,0.366,0.129,0.244,0.443,0.611,0.134,0.081,90.413,34,14,0,3,R,TB@BAL,BAL,TB
2,Shane Baz,669358,R,FC,R,477,0.2,27.0,0.312,0.14,0.225,0.333,0.352,0.315,0.065,87.949,14,8,0,5,R,TB@BAL,BAL,TB
3,Shane Baz,669358,R,FF,R,883,0.371,38.0,0.359,0.109,0.225,0.496,0.38,0.264,0.14,90.434,22,10,0,6,R,TB@BAL,BAL,TB
4,Shane Baz,669358,R,SI,R,183,0.077,9.0,0.306,0.077,0.237,0.378,0.73,0.081,0.0,89.468,7,2,0,0,R,TB@BAL,BAL,TB
5,Shane Baz,669358,R,SL,R,79,0.033,9.0,0.405,0.089,0.429,0.65,0.3,0.5,0.35,98.09,3,0,0,6,R,TB@BAL,BAL,TB
0,Shane Baz,669358,R,CH,L,495,0.182,28.0,0.428,0.111,0.25,0.276,0.459,0.265,0.061,84.573,20,3,0,5,L,TB@BAL,BAL,TB
1,Shane Baz,669358,R,CU,L,776,0.286,58.0,0.313,0.165,0.253,0.443,0.471,0.221,0.071,91.014,37,17,2,2,L,TB@BAL,BAL,TB
2,Shane Baz,669358,R,FC,L,293,0.108,29.0,0.311,0.123,0.403,0.393,0.375,0.268,0.054,89.712,18,6,1,4,L,TB@BAL,BAL,TB
3,Shane Baz,669358,R,FF,L,1126,0.415,54.0,0.352,0.094,0.256,0.401,0.272,0.309,0.068,88.51,33,16,0,5,L,TB@BAL,BAL,TB
4,Shane Baz,669358,R,SI,L,21,0.008,0.0,0.429,0.048,0.0,0.75,0.25,0.25,0.0,97.9,0,0,0,0,L,TB@BAL,BAL,TB
5,Shane Baz,669358,R,SL,L,3,0.001,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,L,TB@BAL,BAL,TB
0,Nick Martinez,607259,R,CH,R,374,0.178,13.0,0.382,0.15,0.135,0.243,0.329,0.386,0.071,81.994,5,5,0,3,R,TB@BAL,TB,BAL
1,Nick Martinez,607259,R,CU,R,166,0.079,7.0,0.458,0.024,0.25,0.357,0.643,0.107,0.071,91.957,6,1,0,0,R,TB@BAL,TB,BAL
2,Nick Martinez,607259,R,FC,R,403,0.191,34.0,0.313,0.084,0.279,0.291,0.453,0.231,0.043,84.837,23,7,0,4,R,TB@BAL,TB,BAL
3,Nick Martinez,607259,R,FF,R,259,0.123,20.0,0.29,0.058,0.308,0.509,0.182,0.382,0.127,93.711,8,7,0,5,R,TB@BAL,TB,BAL
4,Nick Martinez,607259,R,PO,R,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,R,TB@BAL,TB,BAL
5,Nick Martinez,607259,R,SI,R,663,0.315,55.0,0.268,0.062,0.291,0.277,0.41,0.225,0.04,82.811,40,11,0,4,R,TB@BAL,TB,BAL
6,Nick Martinez,607259,R,SL,R,240,0.114,23.0,0.433,0.158,0.404,0.34,0.383,0.234,0.085,86.994,15,7,0,1,R,TB@BAL,TB,BAL
0,Nick Martinez,607259,R,CH,L,679,0.277,36.0,0.378,0.159,0.196,0.229,0.326,0.319,0.042,83.723,23,5,2,6,L,TB@BAL,TB,BAL
1,Nick Martinez,607259,R,CU,L,220,0.09,8.0,0.491,0.055,0.235,0.308,0.615,0.115,0.038,87.096,5,3,0,0,L,TB@BAL,TB,BAL
2,Nick Martinez,607259,R,FC,L,555,0.226,33.0,0.277,0.092,0.239,0.342,0.392,0.283,0.1,89.229,17,9,1,6,L,TB@BAL,TB,BAL
3,Nick Martinez,607259,R,FF,L,518,0.211,39.0,0.32,0.068,0.3,0.459,0.351,0.306,0.09,90.323,23,12,0,4,L,TB@BAL,TB,BAL
4,Nick Martinez,607259,R,PO,L,2,0.001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,L,TB@BAL,TB,BAL
5,Nick Martinez,607259,R,SI,L,386,0.157,23.0,0.313,0.028,0.232,0.52,0.307,0.387,0.12,91.565,15,2,0,6,L,TB@BAL,TB,BAL
6,Nick Martinez,607259,R,SL,L,95,0.039,6.0,0.347,0.116,0.261,0.421,0.421,0.211,0.105,90.758,4,2,0,0,L,TB@BAL,TB,BAL
0,Cristopher Sanchez,650911,L,CH,R,1856,0.439,89.0,0.371,0.244,0.18,0.265,0.625,0.136,0.023,83.159,61,22,0,6,R,STL@PHI,PHI,STL
1,Cristopher Sanchez,650911,L,FC,R,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,R,STL@PHI,PHI,STL
2,Cristopher Sanchez,650911,L,SI,R,1763,0.417,151.0,0.316,0.043,0.344,0.584,0.549,0.178,0.095,93.696,117,24,0,10,R,STL@PHI,PHI,STL
3,Cristopher Sanchez,650911,L,SL,R,610,0.144,39.0,0.32,0.161,0.287,0.432,0.347,0.284,0.147,89.981,22,10,0,7,R,STL@PHI,PHI,STL
0,Cristopher Sanchez,650911,L,CH,L,153,0.134,6.0,0.386,0.359,0.113,0.273,0.455,0.364,0.0,84.036,5,1,0,0,L,STL@PHI,PHI,STL
1,Cristopher Sanchez,650911,L,SI,L,649,0.567,36.0,0.247,0.112,0.194,0.34,0.721,0.088,0.034,87.486,30,5,0,1,L,STL@PHI,PHI,STL
2,Cristopher Sanchez,650911,L,SL,L,342,0.299,9.0,0.383,0.26,0.123,0.122,0.633,0.245,0.02,81.51,8,0,0,1,L,STL@PHI,PHI,STL
0,Kyle Leahy,681517,R,CH,R,57,0.033,7.0,0.316,0.158,0.25,0.467,0.533,0.067,0.067,91.407,5,2,0,0,R,STL@PHI,STL,PHI
1,Kyle Leahy,681517,R,CU,R,201,0.117,6.0,0.468,0.119,0.122,0.515,0.485,0.273,0.121,93.0,3,2,0,1,R,STL@PHI,STL,PHI
2,Kyle Leahy,681517,R,FF,R,368,0.214,15.0,0.356,0.087,0.259,0.63,0.196,0.435,0.217,95.554,6,6,0,3,R,STL@PHI,STL,PHI
3,Kyle Leahy,681517,R,PO,R,1,0.001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,R,STL@PHI,STL,PHI
4,Kyle Leahy,681517,R,SI,R,323,0.188,18.0,0.266,0.053,0.202,0.427,0.573,0.107,0.04,87.184,17,0,0,1,R,STL@PHI,STL,PHI
5,Kyle Leahy,681517,R,SL,R,409,0.238,24.0,0.284,0.125,0.245,0.379,0.494,0.161,0.057,85.216,19,4,0,1,R,STL@PHI,STL,PHI
6,Kyle Leahy,681517,R,ST,R,359,0.209,24.0,0.318,0.187,0.255,0.358,0.209,0.358,0.119,87.463,14,9,0,1,R,STL@PHI,STL,PHI
0,Kyle Leahy,681517,R,CH,L,353,0.213,21.0,0.405,0.136,0.259,0.379,0.576,0.091,0.091,88.802,17,1,1,2,L,STL@PHI,STL,PHI
