,player_name,pitcher,stand,pitch_type,PitchesThrown,IsBall,Ball%
110,Adam Mazur,800049,L,CH,71,41,0.577
111,Adam Mazur,800049,L,CU,81,31,0.383
112,Adam Mazur,800049,L,FF,171,66,0.386
113,Adam Mazur,800049,L,SI,32,7,0.219
114,Adam Mazur,800049,L,SL,122,51,0.418
115,Adam Mazur,800049,L,ST,4,1,0.25
116,Adam Mazur,800049,R,CH,9,4,0.444
117,Adam Mazur,800049,R,CU,22,9,0.409
118,Adam Mazur,800049,R,FF,106,36,0.34
119,Adam Mazur,800049,R,SI,38,10,0.263
120,Adam Mazur,800049,R,SL,152,49,0.322
121,Adam Mazur,800049,R,ST,23,11,0.478
1348,Cade Horton,690990,L,CH,187,89,0.476
1349,Cade Horton,690990,L,CU,151,58,0.384
1350,Cade Horton,690990,L,FF,443,137,0.309
1351,Cade Horton,690990,L,SI,1,0,0.0
1352,Cade Horton,690990,L,SL,1,1,1.0
1353,Cade Horton,690990,L,ST,29,8,0.276
1354,Cade Horton,690990,R,CH,10,6,0.6
1355,Cade Horton,690990,R,CU,18,5,0.278
1356,Cade Horton,690990,R,FF,351,97,0.276
1357,Cade Horton,690990,R,SI,83,36,0.434
1358,Cade Horton,690990,R,SL,3,2,0.667
1359,Cade Horton,690990,R,ST,316,110,0.348
1549,Carlos Rodriguez,692230,L,CH,66,26,0.394
1550,Carlos Rodriguez,692230,L,CU,19,8,0.421
1551,Carlos Rodriguez,692230,L,FC,26,11,0.423
1552,Carlos Rodriguez,692230,L,FF,48,16,0.333
1553,Carlos Rodriguez,692230,L,SI,21,3,0.143
1554,Carlos Rodriguez,692230,L,SL,4,3,0.75
1555,Carlos Rodriguez,692230,R,CH,11,4,0.364
1556,Carlos Rodriguez,692230,R,CU,14,6,0.429
1557,Carlos Rodriguez,692230,R,FC,45,16,0.356
1558,Carlos Rodriguez,692230,R,FF,35,20,0.571
1559,Carlos Rodriguez,692230,R,SI,40,22,0.55
1560,Carlos Rodriguez,692230,R,SL,61,17,0.279
1668,Casey Mize,663554,L,CU,89,42,0.472
1669,Casey Mize,663554,L,FF,828,297,0.359
1670,Casey Mize,663554,L,FS,576,187,0.325
1671,Casey Mize,663554,L,SI,5,3,0.6
1672,Casey Mize,663554,L,SL,382,128,0.335
1673,Casey Mize,663554,L,SV,108,41,0.38
1674,Casey Mize,663554,R,CU,45,27,0.6
1675,Casey Mize,663554,R,FC,15,4,0.267
1676,Casey Mize,663554,R,FF,545,161,0.295
1677,Casey Mize,663554,R,FS,224,90,0.402
1678,Casey Mize,663554,R,SI,389,84,0.216
1679,Casey Mize,663554,R,SL,367,147,0.401
1680,Casey Mize,663554,R,ST,1,0,0.0
1681,Casey Mize,663554,R,SV,216,98,0.454
2739,Dustin May,669160,L,CH,11,2,0.182
2740,Dustin May,669160,L,FC,161,54,0.335
2741,Dustin May,669160,L,FF,270,116,0.43
2742,Dustin May,669160,L,SI,359,129,0.359
2743,Dustin May,669160,L,ST,493,193,0.391
2744,Dustin May,669160,R,FC,55,18,0.327
2745,Dustin May,669160,R,FF,93,35,0.376
2746,Dustin May,669160,R,SI,367,104,0.283
2747,Dustin May,669160,R,ST,360,135,0.375
2970,Emmet Sheehan,686218,L,CH,98,44,0.449
2971,Emmet Sheehan,686218,L,CU,41,19,0.463
2972,Emmet Sheehan,686218,L,FF,160,65,0.406
2973,Emmet Sheehan,686218,L,SL,43,9,0.209
2974,Emmet Sheehan,686218,R,CH,64,28,0.438
2975,Emmet Sheehan,686218,R,CU,19,12,0.632
2976,Emmet Sheehan,686218,R,FF,229,69,0.301
2977,Emmet Sheehan,686218,R,SL,199,58,0.291
3006,Eric Lauer,641778,L,CH,8,5,0.625
3007,Eric Lauer,641778,L,CU,38,13,0.342
3008,Eric Lauer,641778,L,FC,93,32,0.344
3009,Eric Lauer,641778,L,FF,181,44,0.243
3010,Eric Lauer,641778,L,SL,53,16,0.302
3011,Eric Lauer,641778,R,CH,124,74,0.597
3012,Eric Lauer,641778,R,CU,185,64,0.346
3013,Eric Lauer,641778,R,FC,236,71,0.301
3014,Eric Lauer,641778,R,FF,530,162,0.306
3015,Eric Lauer,641778,R,SI,1,1,1.0
