,player_name,pitcher,stand,pitch_type,PitchesThrown,TotalPC,%,BatterName,batter
63,Aaron Nola,605400,L,CH,234,1257,0.18615751789976134,L,
64,Aaron Nola,605400,L,CU,362,1257,0.28798727128082735,L,
65,Aaron Nola,605400,L,FC,72,1257,0.057279236276849645,L,
66,Aaron Nola,605400,L,FF,437,1257,0.34765314240254575,L,
67,Aaron Nola,605400,L,SI,152,1257,0.12092283214001591,L,
68,Aaron Nola,605400,R,CH,61,756,0.08068783068783068,R,
69,Aaron Nola,605400,R,CU,225,756,0.2976190476190476,R,
70,Aaron Nola,605400,R,FC,86,756,0.11375661375661375,R,
71,Aaron Nola,605400,R,FF,168,756,0.2222222222222222,R,
72,Aaron Nola,605400,R,SI,216,756,0.2857142857142857,R,
430,Antonio Senzatela,622608,L,CH,171,1307,0.13083397092578425,L,
431,Antonio Senzatela,622608,L,CU,214,1307,0.1637337413925019,L,
432,Antonio Senzatela,622608,L,FC,27,1307,0.020657995409334353,L,
433,Antonio Senzatela,622608,L,FF,714,1307,0.5462892119357307,L,
434,Antonio Senzatela,622608,L,SI,59,1307,0.045141545524101,L,
435,Antonio Senzatela,622608,L,SL,122,1307,0.09334353481254781,L,
436,Antonio Senzatela,622608,R,CH,25,1219,0.020508613617719443,R,
437,Antonio Senzatela,622608,R,CU,141,1219,0.11566858080393766,R,
438,Antonio Senzatela,622608,R,FC,29,1219,0.02378999179655455,R,
439,Antonio Senzatela,622608,R,FF,591,1219,0.48482362592288764,R,
440,Antonio Senzatela,622608,R,SI,86,1219,0.07054963084495489,R,
441,Antonio Senzatela,622608,R,SL,347,1219,0.28465955701394585,R,
1313,Carmen Mlodzinski,669387,L,CH,177,1031,0.1716779825412221,L,
1314,Carmen Mlodzinski,669387,L,CU,121,1031,0.11736178467507274,L,
1315,Carmen Mlodzinski,669387,L,FC,3,1031,0.002909796314258002,L,
1316,Carmen Mlodzinski,669387,L,FF,413,1031,0.4005819592628516,L,
1317,Carmen Mlodzinski,669387,L,FS,104,1031,0.1008729388942774,L,
1318,Carmen Mlodzinski,669387,L,SI,38,1031,0.03685741998060136,L,
1319,Carmen Mlodzinski,669387,L,SL,94,1031,0.09117361784675072,L,
1320,Carmen Mlodzinski,669387,L,ST,81,1031,0.07856450048496605,L,
1321,Carmen Mlodzinski,669387,R,CH,60,1040,0.057692307692307696,R,
1322,Carmen Mlodzinski,669387,R,CU,88,1040,0.08461538461538462,R,
1323,Carmen Mlodzinski,669387,R,FC,2,1040,0.0019230769230769232,R,
1324,Carmen Mlodzinski,669387,R,FF,306,1040,0.29423076923076924,R,
1325,Carmen Mlodzinski,669387,R,FS,28,1040,0.026923076923076925,R,
1326,Carmen Mlodzinski,669387,R,SI,287,1040,0.2759615384615385,R,
1327,Carmen Mlodzinski,669387,R,SL,169,1040,0.1625,R,
1328,Carmen Mlodzinski,669387,R,ST,100,1040,0.09615384615384616,R,
1626,Chris Sale,519242,L,CH,8,486,0.01646090534979424,L,
1627,Chris Sale,519242,L,FF,149,486,0.3065843621399177,L,
1628,Chris Sale,519242,L,SI,84,486,0.1728395061728395,L,
1629,Chris Sale,519242,L,SL,245,486,0.5041152263374485,L,
1630,Chris Sale,519242,R,CH,184,1987,0.0926019124308002,R,
1631,Chris Sale,519242,R,FF,874,1987,0.439859084046301,R,
1632,Chris Sale,519242,R,SI,20,1987,0.010065425264217413,R,
1633,Chris Sale,519242,R,SL,909,1987,0.45747357825868146,R,
1897,Connelly Early,813349,L,CH,7,186,0.03763440860215054,L,
1898,Connelly Early,813349,L,CU,11,186,0.05913978494623656,L,
1899,Connelly Early,813349,L,FF,37,186,0.1989247311827957,L,
1900,Connelly Early,813349,L,SI,70,186,0.3763440860215054,L,
1901,Connelly Early,813349,L,SL,22,186,0.11827956989247312,L,
1902,Connelly Early,813349,L,ST,39,186,0.20967741935483872,L,
