Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,SlateDate,SlateName,SlateStartTime
SP,Tarik Skubal (1055775),Tarik Skubal,1055775,P,10400,,DET,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Dylan Cease (829000),Dylan Cease,829000,P,9900,,TOR,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Kevin Gausman (548347),Kevin Gausman,548347,P,9900,,TOR,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Garrett Crochet (1056039),Garrett Crochet,1056039,P,9700,,BOS,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Paul Skenes (1452064),Paul Skenes,1452064,P,9500,,PIT,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Yoshinobu Yamamoto (969448),Yoshinobu Yamamoto,969448,P,9300,,LAD,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Blake Snell (597786),Blake Snell,597786,P,9300,,LAD,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Framber Valdez (873146),Framber Valdez,873146,P,8900,,DET,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,MacKenzie Gore (1054965),MacKenzie Gore,1054965,P,8800,,TEX,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Jacob deGrom (548447),Jacob deGrom,548447,P,8800,,TEX,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Nathan Eovaldi (455169),Nathan Eovaldi,455169,P,8800,,TEX,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Shane McClanahan (875827),Shane McClanahan,875827,P,8700,,TB,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Joe Ryan (829793),Joe Ryan,829793,P,8700,,MIN,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Max Fried (657860),Max Fried,657860,P,8700,,NYY,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Gerrit Cole (454389),Gerrit Cole,454389,P,8700,,NYY,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Cam Schlittler (1397686),Cam Schlittler,1397686,P,8700,,NYY,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Pablo Lopez (736473),Pablo Lopez,736473,P,8700,,MIN,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Aaron Nola (599230),Aaron Nola,599230,P,8600,,PHI,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Jesus Luzardo (917981),Jesus Luzardo,917981,P,8600,,PHI,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Zack Wheeler (500722),Zack Wheeler,500722,P,8600,,PHI,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Cristopher Sanchez (828749),Cristopher Sanchez,828749,P,8600,,PHI,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Andrew Painter (1311158),Andrew Painter,1311158,P,8600,,PHI,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Hunter Greene (1054964),Hunter Greene,1054964,P,8600,,CIN,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Chase Burns (1316805),Chase Burns,1316805,P,8600,,CIN,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Sonny Gray (455516),Sonny Gray,455516,P,8500,,BOS,0.0,2026-04-03,Early,2026-04-03 13:05 ET
RP,Bubba Chandler (1311161),Bubba Chandler,1311161,P,8500,,PIT,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Ranger Suarez (659551),Ranger Suarez,659551,P,8500,,BOS,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Trey Yesavage (1519320),Trey Yesavage,1519320,P,8400,,TOR,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Cody Ponce (856266),Cody Ponce,856266,P,8400,,TOR,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Max Scherzer (326473),Max Scherzer,326473,P,8400,,TOR,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Jose Berrios (657852),Jose Berrios,657852,P,8400,,TOR,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Kyle Bradish (1053080),Kyle Bradish,1053080,P,8300,,BAL,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Tyler Glasnow (597835),Tyler Glasnow,597835,P,8300,,LAD,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Roki Sasaki (1213511),Roki Sasaki,1213511,P,8300,,LAD,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Shane Baz (1054987),Shane Baz,1054987,P,8300,,BAL,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Trevor Rogers (1054988),Trevor Rogers,1054988,P,8300,,BAL,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Chris Bassitt (598294),Chris Bassitt,598294,P,8300,,BAL,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Zach Eflin (657853),Zach Eflin,657853,P,8300,,BAL,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Michael King (874220),Michael King,874220,P,8200,,SD,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Nick Pivetta (737889),Nick Pivetta,737889,P,8200,,SD,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Joe Musgrove (597766),Joe Musgrove,597766,P,8200,,SD,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Eury Perez (1284641),Eury Perez,1284641,P,8100,,MIA,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Max Meyer (1056032),Max Meyer,1056032,P,8100,,MIA,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Chris Paddack (875195),Chris Paddack,875195,P,8100,,MIA,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Sandy Alcantara (828383),Sandy Alcantara,828383,P,8100,,MIA,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Cade Horton (1217005),Cade Horton,1217005,P,8000,,CHC,0.0,2026-04-03,Early,2026-04-03 13:05 ET
SP,Edward Cabrera (920423),Edward Cabrera,920423,P,8000,,CHC,0.0,2026-04-03,Early,2026-04-03 13:05 ET
