,Player,HID,p_throws,batter,pitch_type,AB,H,AVG,wOBA,OPS,ISO,EV,Air Hard%,BIP,Brl%,Hard%,LD%,FB%,K%,BB%,Game,Team,Opp
3,Taylor Ward,621493,R,621493,FF,253.0,66.0,0.261,0.3711358885017421,0.878,0.269,93.68341708542714,0.555,199,0.166,0.518,0.211,0.523,0.188,0.108,LAA@TB,LAA,TB
4,Taylor Ward,621493,R,621493,FS,21.0,5.0,0.238,0.24778260869565216,0.542,0.0,86.04285714285713,0.182,14,0.0,0.143,0.429,0.357,0.304,0.043,LAA@TB,LAA,TB
6,Taylor Ward,621493,R,621493,SI,134.0,33.0,0.246,0.3173333333333333,0.704,0.11199999999999999,93.06428571428572,0.536,112,0.089,0.464,0.259,0.241,0.157,0.113,LAA@TB,LAA,TB
7,Taylor Ward,621493,R,621493,SL,164.0,26.0,0.159,0.22032386363636364,0.499,0.12799999999999997,87.42735042735043,0.421,117,0.077,0.325,0.205,0.282,0.279,0.061,LAA@TB,LAA,TB
8,Taylor Ward,621493,R,621493,ST,48.0,11.0,0.229,0.33176923076923076,0.788,0.271,86.78214285714286,0.333,28,0.107,0.286,0.286,0.357,0.385,0.058,LAA@TB,LAA,TB
13,Luis Rengifo,650859,R,650859,FF,175.0,55.0,0.314,0.35938499999999995,0.819,0.10899999999999999,87.74267515923567,0.377,157,0.032,0.338,0.217,0.223,0.099,0.114,LAA@TB,LAA,TB
15,Luis Rengifo,650859,R,650859,FS,24.0,4.0,0.167,0.21866666666666668,0.467,0.04099999999999998,90.67222222222222,0.364,18,0.056,0.278,0.278,0.333,0.222,0.111,LAA@TB,LAA,TB
17,Luis Rengifo,650859,R,650859,SI,52.0,16.0,0.308,0.3624912280701754,0.843,0.173,91.0840909090909,0.55,44,0.045,0.432,0.25,0.205,0.155,0.086,LAA@TB,LAA,TB
18,Luis Rengifo,650859,R,650859,SL,80.0,15.0,0.188,0.3341894736842105,0.778,0.274,86.75396825396825,0.5,63,0.063,0.317,0.175,0.302,0.179,0.116,LAA@TB,LAA,TB
19,Luis Rengifo,650859,R,650859,ST,21.0,2.0,0.095,0.10940909090909091,0.225,0.0,81.6,0.0,13,0.0,0.308,0.077,0.077,0.391,0.043,LAA@TB,LAA,TB
24,Mike Trout,545361,R,545361,FF,133.0,30.0,0.226,0.38282840236686394,0.884,0.27,91.24719101123596,0.617,89,0.225,0.517,0.236,0.438,0.265,0.188,LAA@TB,LAA,TB
26,Mike Trout,545361,R,545361,FS,9.0,2.0,0.222,0.19,0.444,0.0,90.54,1.0,5,0.0,0.4,0.2,0.0,0.444,0.0,LAA@TB,LAA,TB
27,Mike Trout,545361,R,545361,SI,54.0,17.0,0.315,0.39070769230769226,0.894,0.14800000000000002,85.97872340425532,0.435,47,0.064,0.362,0.34,0.149,0.108,0.123,LAA@TB,LAA,TB
28,Mike Trout,545361,R,545361,SL,58.0,13.0,0.224,0.33038709677419353,0.791,0.29300000000000004,92.87837837837837,0.583,37,0.162,0.459,0.216,0.432,0.339,0.065,LAA@TB,LAA,TB
29,Mike Trout,545361,R,545361,ST,29.0,7.0,0.241,0.28472413793103446,0.689,0.20700000000000002,87.69500000000001,0.5,20,0.1,0.4,0.2,0.3,0.31,0.0,LAA@TB,LAA,TB
34,Jorge Soler,624585,R,624585,FF,200.0,56.0,0.28,0.416875,0.998,0.37,95.30196078431374,0.722,153,0.209,0.601,0.255,0.379,0.226,0.091,LAA@TB,LAA,TB
36,Jorge Soler,624585,R,624585,FS,12.0,1.0,0.083,0.16064285714285712,0.297,0.0,72.93333333333334,0.0,9,0.0,0.111,0.0,0.0,0.214,0.143,LAA@TB,LAA,TB
38,Jorge Soler,624585,R,624585,SI,163.0,42.0,0.258,0.3149784946236559,0.704,0.10399999999999998,89.31984732824428,0.465,131,0.053,0.397,0.198,0.13,0.179,0.105,LAA@TB,LAA,TB
39,Jorge Soler,624585,R,624585,SL,200.0,38.0,0.19,0.2630896860986547,0.592,0.13,89.68358208955225,0.5,134,0.119,0.388,0.246,0.291,0.299,0.098,LAA@TB,LAA,TB
40,Jorge Soler,624585,R,624585,ST,62.0,14.0,0.226,0.3117794117647059,0.725,0.209,88.13428571428572,0.5,35,0.114,0.371,0.171,0.457,0.406,0.087,LAA@TB,LAA,TB
45,Logan O'Hoppe,681351,R,681351,FF,144.0,36.0,0.25,0.31839354838709677,0.747,0.194,93.60786516853933,0.667,89,0.18,0.562,0.281,0.393,0.355,0.058,LAA@TB,LAA,TB
